Timestamp,activity_label,accX,accY,accZ,gyroX,gyroY,gyroZ
2025-08-02 16:59:49 ,sitting,6.0,0.81,0.81,-2.99,0.31,0.64
2025-08-02 16:59:49 ,sitting,0.35,0.81,0.81,-2.47,0.55,0.67
2025-08-02 16:59:49 ,sitting,0.35,0.81,0.81,-2.62,0.52,0.89
2025-08-02 16:59:49 ,sitting,0.35,0.81,0.81,-2.59,0.4,0.76
2025-08-02 16:59:49 ,sitting,0.35,0.81,0.81,-2.29,0.46,0.55
2025-08-02 16:59:49 ,sitting,0.35,0.81,0.81,-2.56,0.31,0.73
2025-08-02 16:59:49 ,sitting,0.35,0.81,0.81,-2.72,0.37,0.61
2025-08-02 16:59:49 ,sitting,0.35,0.81,0.81,-2.29,0.49,0.34
2025-08-02 16:59:49 ,sitting,0.35,0.81,0.81,-2.35,0.4,0.43
2025-08-02 16:59:49 ,sitting,0.35,0.81,0.81,-2.44,0.49,0.58
2025-08-02 16:59:49 ,sitting,0.35,0.81,0.81,-2.26,0.64,0.64
2025-08-02 16:59:49 ,sitting,0.35,0.81,0.81,-2.29,0.55,0.49
2025-08-02 16:59:49 ,sitting,0.35,0.81,0.81,-2.44,0.34,0.43
2025-08-02 16:59:49 ,sitting,0.35,0.81,0.81,-2.38,0.31,0.55
2025-08-02 16:59:49 ,sitting,0.35,0.81,0.81,-2.59,0.34,0.4
2025-08-02 16:59:49 ,sitting,0.35,0.81,0.81,-2.56,0.34,0.55
2025-08-02 16:59:49 ,sitting,0.35,0.81,0.81,-2.72,0.21,0.34
2025-08-02 16:59:49 ,sitting,0.35,0.81,0.81,-2.47,0.27,0.58
2025-08-02 16:59:49 ,sitting,0.35,0.81,0.81,-2.69,0.34,0.58
2025-08-02 16:59:49 ,sitting,0.35,0.81,0.81,-2.38,0.37,0.67
2025-08-02 16:59:49 ,sitting,0.35,0.81,0.81,-2.47,0.31,0.37
2025-08-02 16:59:49 ,sitting,0.35,0.81,0.81,-2.62,0.46,0.34
2025-08-02 16:59:49 ,sitting,0.35,0.81,0.81,-2.69,0.34,0.34
2025-08-02 16:59:49 ,sitting,0.35,0.81,0.81,-2.59,0.43,0.58
2025-08-02 16:59:49 ,sitting,0.35,0.81,0.81,-2.69,0.37,0.7
2025-08-02 16:59:49 ,sitting,0.35,0.81,0.81,-2.35,0.43,0.55
2025-08-02 16:59:50 ,sitting,0.35,0.81,0.81,-2.26,0.43,0.55
2025-08-02 16:59:50 ,sitting,0.35,0.81,0.81,-2.47,0.43,0.64
2025-08-02 16:59:50 ,sitting,0.35,0.81,0.81,-2.47,0.31,0.55
2025-08-02 16:59:50 ,sitting,0.35,0.81,0.81,-2.47,0.46,0.52
2025-08-02 16:59:50 ,sitting,0.35,0.81,0.81,-2.01,0.46,0.27
2025-08-02 16:59:50 ,sitting,0.35,0.81,0.81,-1.53,0.61,-0.12
2025-08-02 16:59:50 ,sitting,0.35,0.81,0.81,-1.77,0.7,-0.06
2025-08-02 16:59:50 ,sitting,0.35,0.81,0.81,-2.56,0.24,0.58
2025-08-02 16:59:50 ,sitting,0.36,0.82,0.82,-3.05,0.03,0.58
2025-08-02 16:59:50 ,sitting,0.35,0.81,0.81,-2.72,0.18,0.43
2025-08-02 16:59:50 ,sitting,0.35,0.81,0.81,-2.84,0.15,0.79
2025-08-02 16:59:50 ,sitting,0.35,0.81,0.81,-2.75,0.09,0.82
2025-08-02 16:59:50 ,sitting,0.35,0.81,0.81,-2.78,0.24,0.49
2025-08-02 16:59:50 ,sitting,0.35,0.81,0.81,-2.47,0.24,0.55
2025-08-02 16:59:50 ,sitting,0.35,0.81,0.81,-2.26,0.4,0.43
2025-08-02 16:59:50 ,sitting,0.35,0.81,0.81,-2.17,0.7,0.46
2025-08-02 16:59:50 ,sitting,0.35,0.81,0.81,-2.04,0.49,0.55
2025-08-02 16:59:50 ,sitting,0.35,0.82,0.82,-2.11,0.37,0.4
2025-08-02 16:59:50 ,sitting,0.35,0.81,0.81,-2.5,0.52,0.52
2025-08-02 16:59:50 ,sitting,0.35,0.81,0.81,-2.53,0.52,0.31
2025-08-02 16:59:50 ,sitting,0.35,0.81,0.81,-2.29,0.46,0.34
2025-08-02 16:59:50 ,sitting,0.35,0.81,0.81,-2.26,0.37,0.46
2025-08-02 16:59:50 ,sitting,0.35,0.81,0.81,-2.47,0.31,0.49
2025-08-02 16:59:50 ,sitting,0.35,0.81,0.81,-2.56,0.43,0.58
2025-08-02 16:59:50 ,sitting,0.35,0.81,0.81,-2.69,0.24,0.61
2025-08-02 16:59:50 ,sitting,0.35,0.81,0.81,-2.53,0.34,0.46
2025-08-02 16:59:50 ,sitting,0.35,0.81,0.81,-2.47,0.21,0.46
2025-08-02 16:59:50 ,sitting,0.35,0.81,0.81,-2.38,0.34,0.55
2025-08-02 16:59:50 ,sitting,0.35,0.81,0.81,-2.44,0.27,0.49
2025-08-02 16:59:50 ,sitting,0.35,0.81,0.81,-2.44,0.24,0.55
2025-08-02 16:59:51 ,sitting,0.35,0.81,0.81,-2.47,0.15,0.49
2025-08-02 16:59:51 ,sitting,0.35,0.81,0.81,-2.44,0.27,0.55
2025-08-02 16:59:51 ,sitting,0.35,0.81,0.81,-2.47,0.24,0.55
2025-08-02 16:59:51 ,sitting,0.35,0.81,0.81,-2.26,0.34,0.46
2025-08-02 16:59:51 ,sitting,0.35,0.81,0.81,-2.14,0.34,0.34
2025-08-02 16:59:51 ,sitting,0.35,0.81,0.81,-2.14,0.58,0.31
2025-08-02 16:59:51 ,sitting,0.35,0.81,0.81,-2.23,0.37,0.4
2025-08-02 16:59:51 ,sitting,0.35,0.81,0.81,-2.35,0.34,0.49
2025-08-02 16:59:51 ,sitting,0.35,0.81,0.81,-2.5,0.27,0.61
2025-08-02 16:59:51 ,sitting,0.35,0.81,0.81,-2.62,0.4,0.52
2025-08-02 16:59:51 ,sitting,0.35,0.81,0.81,-2.44,0.43,0.31
2025-08-02 16:59:51 ,sitting,0.35,0.81,0.81,-2.66,0.43,0.31
2025-08-02 16:59:51 ,sitting,0.35,0.81,0.81,-2.69,0.31,0.31
2025-08-02 16:59:51 ,sitting,0.35,0.81,0.81,-2.66,0.4,0.55
2025-08-02 16:59:51 ,sitting,0.35,0.81,0.81,-2.59,0.27,0.76
2025-08-02 16:59:51 ,sitting,0.35,0.81,0.81,-2.41,0.37,0.61
2025-08-02 16:59:51 ,sitting,0.35,0.81,0.81,-2.2,0.58,0.82
